Time,x-axis,y-axis,z-axis
0.573963881,-0.216004997,-0.749473393,-0.532819629
0.684360266,-0.15847455,-0.6333462,-0.705527127
0.791363001,-0.180011094,-0.643969536,-0.691841483
0.9007442,-0.116950706,-0.692669511,-0.69484061
1.01064086,-0.092429608,-0.566622078,-0.607805192
1.124553204,-0.054503173,-0.664477825,-0.503451169
1.234974146,-0.084227733,-0.559678674,-0.665878356
1.348169804,-0.157779247,-0.599261045,-0.654603302
1.457886696,0.038486898,-0.345071137,-0.636178732
1.571550846,0.264453083,-0.473990381,-0.492360532
1.686449289,0.34600389,-0.879582703,-0.254533112
1.799091101,0.58261466,-0.687260032,-0.080407165
1.911563635,0.82512176,-0.91749239,0.255998135
2.028970003,0.711114407,-1.311814189,0.276035249
2.137663126,0.249424711,-2.013885975,0.24555704
2.252408266,-0.124165758,-2.037655592,0.238884062
2.352647543,-0.129002199,-1.653303742,0.001845437
2.465192556,0.115630999,-0.935241342,0.005299373
2.570758104,0.213247329,-0.541542292,-0.67660588
2.68010807,0.253682762,-0.997212946,-0.393013418
2.792773724,-0.026999388,-1.252636552,-0.053084403
2.903645515,0.587844491,-1.110846281,0.126447886
3.012225151,0.198455215,-1.145137787,-0.239878342
3.120130777,0.039123122,-1.082139373,-0.186048552
3.22404623,0.011897997,-1.129475594,-0.138154909
3.339371204,-0.473461479,-1.273357749,-0.128421485
3.441786051,0.043325581,-1.134648681,0.12125989
3.564488411,0.275009155,-0.780818045,0.18031016
3.673833609,0.219300821,-1.063052297,0.379159898
3.786373854,0.150552616,-0.629748464,-0.848510027
3.897784472,-0.055654459,-0.954250038,0.010437636
4.00778532,-0.073563844,-0.9511711,0.222107694
4.117155552,-0.136072263,-0.726668358,0.115129642
4.233380318,-0.039152704,-0.845695436,0.45000428
4.339081049,-0.008719584,-1.003761411,0.117942505
4.449466705,0.436397851,-0.817308605,0.021191709
4.557533741,0.57299757,-0.75079006,0.026782654
4.666910172,0.065406762,-1.234548211,0.339388192
4.778936386,-0.129002854,-1.264163136,0.159189165
4.889694929,0.317920834,-0.866283953,0.17413038
4.999549866,-0.466029793,-0.887133837,-0.150054142
5.108805418,0.188319489,-1.124272943,0.152450368
5.21802783,-0.095644474,-1.042000294,0.183714971
5.332226038,0.698455811,-1.302719951,-0.066490196
5.450312138,0.178537935,-0.918324947,-0.067220785
5.553544521,0.252714187,-0.949795127,0.121772937
5.660703897,0.333427459,-0.821632028,0.046348531
5.781668425,0.576272011,-0.797166705,-0.004507254
5.894303322,0.404165864,-0.831975222,-0.012917162
6.009016037,0.518601537,-0.995469749,0.053330276
6.118437529,0.505530596,-0.944462597,0.088459484
6.229288816,0.732442975,-0.810461104,-0.031706281
6.337942362,0.430332124,-0.795962989,-0.007999363
6.441199064,0.590605021,-0.774572194,0.308370411
6.563179493,0.686120868,-0.937130988,-0.122932099
6.673475981,0.60867238,-0.803029001,-0.105325587
6.777756691,0.599991918,-0.792871118,0.090723895
6.879106522,0.575735092,-0.798854887,0.038029708
6.989742041,0.643382192,-0.674243748,-0.029951412
7.099113464,0.647682309,-0.944042206,0.055917095
7.208467007,0.492355913,-0.99408716,-0.016519286
7.316505432,0.589515686,-0.850814939,-0.034111481
7.436554432,0.509179354,-0.804369092,0.03947489
7.558218718,0.501124978,-0.841227174,0.169494033
7.667752743,0.445932597,-0.865912318,0.05672409
7.769892693,0.363931477,-0.955899,-0.054427918
7.887849092,0.450981766,-0.866129041,-0.032978307
7.991021156,0.579552054,-0.72917074,-0.291733325
8.102366924,0.436888814,-0.946199834,-0.059228186
8.211848259,0.502978683,-0.930882394,0.061387405
8.3244946,0.57809484,-0.985930204,-0.087362848
8.433869362,0.344963104,-0.928098321,-0.040998671
8.549399137,0.626867175,-0.878218591,-0.16683881
8.659460068,0.320248008,-0.617057741,-0.119244717
8.764064312,3.030192375,-0.921051621,-0.162064642
8.87467742,0.655530453,-0.778483629,-0.103013046
8.976460934,0.561807275,-0.790489912,-0.114989594
9.088729858,0.832597971,-0.799948394,-0.104766451
9.203004122,0.765739202,-0.690131605,-0.204243124
9.315765381,0.826149106,-0.765293956,-0.139647111
9.425005913,0.382845283,-0.708028376,-0.115033582
9.528922558,0.615432382,-0.821889639,0.05983134
9.638806581,0.474827617,-0.828590989,0.011710897
9.750030994,0.55127871,-0.980965436,-0.039419211
9.854099035,0.506396532,-0.86392504,-0.087349087
9.964794874,0.633114338,-0.912655473,0.006934947
10.0675602,0.466321826,-0.903918564,-0.029691011
10.1887815,0.447800457,-0.87475884,-0.058977973
10.29483581,0.463741541,-0.943484306,0.037247833
10.40434813,0.331996858,-0.955833673,0.095216319
10.5137229,0.220023379,-0.913262308,0.048273548
10.62421346,0.271284908,-0.900767148,0.0191443
10.72772598,0.283537179,-0.87824589,0.050732724
10.84075952,0.286109567,-0.889588475,-0.013281641
10.95013714,0.381570101,-0.956539333,-0.101004913
11.0633769,0.320254803,-0.893955767,-0.142177299
11.1655252,0.487798303,-1.074771643,-0.130304784
11.27965832,0.3176862,-0.927290559,-0.147604495
11.38906646,0.484533876,-1.067284822,-0.092650816
11.50128698,0.264257491,-0.881481409,-0.111773267
11.6177268,0.559446692,-1.08152616,-0.14087674
11.7289176,0.370031238,-0.960834682,-0.12558794
11.83760381,0.460788518,-0.943524063,-0.014258414
11.95571852,0.322366774,-0.856164277,-0.054944281
12.06719279,0.319669455,-0.878014445,0.022581372
12.18940258,0.323508829,-0.961929858,-0.037609413
12.29480171,0.28411001,-0.962469697,-0.122347794
12.404809,0.372946829,-0.914952278,-0.05657601
12.51337934,0.29772225,-0.961297691,-0.054049242
12.62595105,0.282365054,-0.918773174,-0.043328661
12.73956299,0.275176316,-0.994838655,0.019579414
12.85572004,0.348009616,-0.97789079,0.084343404
12.96509886,0.322122186,-0.970162034,0.052872512
13.07208729,0.294718117,-0.93140465,0.005923526
13.18421125,0.225589529,-0.945473373,0.030224364
13.29713273,0.245287538,-1.00813961,0.052775424
13.40653515,0.152877733,-0.952928841,-0.081531323
13.51589131,0.377516001,-1.053489208,-0.07238733
13.62566781,0.301364571,-0.959521651,-0.189741671
13.73088932,0.250249237,-1.006831765,-0.133760571
13.84132361,0.317437619,-0.972505391,-0.03231588
13.95043039,0.309767216,-0.971469283,0.07860706
14.05691004,0.203890741,-0.930966854,-0.028435327
14.16622591,0.271988004,-0.91940856,-0.128510073
14.28355503,0.324378103,-0.784101665,-0.120008685
14.39585233,0.087628208,-0.965450764,-0.064567864
14.50406098,0.181092083,-1.129141212,-0.04363203
14.62214398,0.161470711,-1.254196644,-0.18321614
14.7242651,-0.060900435,-1.361775637,-0.084577136
14.83299184,0.171144173,-0.910022676,0.038485501
14.94349241,0.0867671,-0.747605443,0.038948704
15.05291557,-0.01603128,-0.813713133,-0.061254706
15.16229725,0.071368046,-0.827052534,-0.093641907
15.27419639,-0.039247904,-0.963877022,-0.087689079
15.3807528,-0.082784854,-0.895607054,-0.047061108
15.49109101,-0.091858894,-0.913113534,0.010534368
15.6090045,-0.07103578,-0.982286334,0.007766625
15.72089934,-0.101038091,-1.078607321,-0.025220454
15.82884288,-0.241347551,-1.227651954,0.000228917
15.94072437,0.155508876,-1.349830866,-0.029486123
16.05079627,0.296346724,-1.430489898,-0.206091613
16.17138839,0.352306187,-0.906802475,-0.115065821
16.2750628,0.34185636,-0.485476017,0.054464772
16.38796067,0.153454691,-1.112952948,0.071065061
16.48947835,0.199744076,-0.804652691,0.048059192
16.59884405,0.30574432,-0.915242136,0.0503885
16.70901132,0.430722564,-0.920073867,-0.017210431
16.82279015,0.360055983,-0.905004144,-0.04268169
16.93217039,0.375811875,-0.834996581,-0.03457785
17.05123758,0.383377075,-0.955955744,0.00078565
17.16064429,0.368987709,-0.869610727,-0.061805028
17.27476311,0.404202312,-0.864414811,-0.086577795
17.386163,0.372772872,-0.909424484,-0.031903666
17.49743843,0.41245544,-0.935244977,-0.03996554
17.60807419,0.448001087,-0.968219161,0.029498991
17.72070503,0.453728467,-0.937656581,-0.007751578
